expr_id,cond_id,stim_id,page_id,item_id,para_id,page_word_id,para_word_id,stim_word_id,exp_word_id,word,response_true
1,1,1,1,1,0,0,0,0,0,一,杨丹丹的祖父
1,1,1,1,1,0,1,1,1,1,百,杨丹丹的祖父
1,1,1,1,1,0,2,2,2,2,零,杨丹丹的祖父
1,1,1,1,1,0,3,3,3,3,一,杨丹丹的祖父
1,1,1,1,1,0,4,4,4,4,年,杨丹丹的祖父
1,1,1,1,1,0,5,5,5,5,前,杨丹丹的祖父
1,1,1,1,1,0,6,6,6,6,的,杨丹丹的祖父
1,1,1,1,1,0,7,7,7,7,漂,杨丹丹的祖父
1,1,1,1,1,0,8,8,8,8,流,杨丹丹的祖父
1,1,1,1,1,0,9,9,9,9,瓶,杨丹丹的祖父
1,1,1,1,1,1,10,0,10,10,杨,杨丹丹的祖父
1,1,1,1,1,1,11,1,11,11,丹,杨丹丹的祖父
1,1,1,1,1,1,12,2,12,12,丹,杨丹丹的祖父
1,1,1,1,1,1,13,3,13,13,从,杨丹丹的祖父
1,1,1,1,1,1,14,4,14,14,未,杨丹丹的祖父
1,1,1,1,1,1,15,5,15,15,见,杨丹丹的祖父
1,1,1,1,1,1,16,6,16,16,过,杨丹丹的祖父
1,1,1,1,1,1,17,7,17,17,她,杨丹丹的祖父
1,1,1,1,1,1,18,8,18,18,的,杨丹丹的祖父
1,1,1,1,1,1,19,9,19,19,祖,杨丹丹的祖父
1,1,1,1,1,1,20,10,20,20,父,杨丹丹的祖父
1,1,1,1,1,1,21,11,21,21,。,杨丹丹的祖父
1,1,1,1,1,1,22,12,22,22,他,杨丹丹的祖父
1,1,1,1,1,1,23,13,23,23,去,杨丹丹的祖父
1,1,1,1,1,1,24,14,24,24,世,杨丹丹的祖父
1,1,1,1,1,1,25,15,25,25,于,杨丹丹的祖父
1,1,1,1,1,1,26,16,26,26,1,杨丹丹的祖父
1,1,1,1,1,1,27,17,27,27,9,杨丹丹的祖父
1,1,1,1,1,1,28,18,28,28,4,杨丹丹的祖父
1,1,1,1,1,1,29,19,29,29,6,杨丹丹的祖父
1,1,1,1,1,1,30,20,30,30,年,杨丹丹的祖父
1,1,1,1,1,1,31,21,31,31,，,杨丹丹的祖父
1,1,1,1,1,1,32,22,32,32,那,杨丹丹的祖父
1,1,1,1,1,1,33,23,33,33,时,杨丹丹的祖父
1,1,1,1,1,1,34,24,34,34,她,杨丹丹的祖父
1,1,1,1,1,1,35,25,35,35,尚,杨丹丹的祖父
1,1,1,1,1,1,36,26,36,36,未,杨丹丹的祖父
1,1,1,1,1,1,37,27,37,37,出,杨丹丹的祖父
1,1,1,1,1,1,38,28,38,38,生,杨丹丹的祖父
1,1,1,1,1,1,39,29,39,39,。,杨丹丹的祖父
1,1,1,1,1,1,40,30,40,40,但,杨丹丹的祖父
1,1,1,1,1,1,41,31,41,41,在,杨丹丹的祖父
1,1,1,1,1,1,42,32,42,42,2,杨丹丹的祖父
1,1,1,1,1,1,43,33,43,43,0,杨丹丹的祖父
1,1,1,1,1,1,44,34,44,44,1,杨丹丹的祖父
1,1,1,1,1,1,45,35,45,45,4,杨丹丹的祖父
1,1,1,1,1,1,46,36,46,46,年,杨丹丹的祖父
1,1,1,1,1,1,47,37,47,47,4,杨丹丹的祖父
1,1,1,1,1,1,48,38,48,48,月,杨丹丹的祖父
1,1,1,1,1,1,49,39,49,49,8,杨丹丹的祖父
1,1,1,1,1,1,50,40,50,50,星,杨丹丹的祖父
1,1,1,1,1,1,51,41,51,51,期,杨丹丹的祖父
1,1,1,1,1,1,52,42,52,52,二,杨丹丹的祖父
1,1,1,1,1,1,53,43,53,53,，,杨丹丹的祖父
